COM_CODE;COM_NOM;AUC_NOM;geolocalisation
38554;Villemoirieu;Lyon;45.713733835, 5.232897278
38001;Les Abrets en Dauphiné;Les Abrets;45.54180465, 5.592891978
38065;Châbons;Grenoble;45.448291261, 5.424966204
38074;Chantesse;Grenoble;45.244865023, 5.447408809
38079;Chaponnay;SO;nan
38131;Les Côtes-d'Arey;Vienne;45.45661899, 4.879873068
38137;Cras;Grenoble;45.272674911, 5.438129852
38163;Le Haut-Bréda;La Ferrière;45.278975203, 6.085282311
38187;Le Gua;Grenoble;45.013918933, 5.61574132
38235;Miribel-Lanchâtre;Grenoble;44.973093415, 5.61059727
38245;Montagne;Montagne;45.141319462, 5.200420676
38252;Montchaboud;Grenoble;45.092557128, 5.761037354
38268;Le Moutaret;Le Moutaret;45.429155144, 6.082088233
38297;Arandon-Passins;Lyon;45.692435426, 5.429656305
38543;Vézeronce-Curtin;Lyon;45.654459852, 5.470691729
38560;Val-de-Virieu;Virieu;45.471164703, 5.477156547
38479;Porte-des-Bonnevaux;Semons;45.432134298, 5.197463343
38504;Theys;Grenoble;45.297194931, 6.013521757
38017;Assieu;Vienne;45.409846758, 4.878150294
38101;Cheyssieu;Vienne;45.425484308, 4.842540744
38242;Monestier-de-Clermont;Grenoble;44.921834564, 5.63672603
38363;Saint-Barthélemy;Beaurepaire;45.341129591, 5.080781573
38373;Saint-Cassien;Grenoble;45.361467092, 5.551367113
38415;Saint-Marcel-Bel-Accueil;Lyon;45.648509818, 5.240348695
38457;Saint-Siméon-de-Bressieux;Saint-Siméon-de-Bressieux;45.326128886, 5.262945859
38387;Saint-Geoirs;Grenoble;45.306519061, 5.379449634
38403;Saint-Jean-d'Hérans;Saint-Jean-d'Hérans;44.854604042, 5.753014872
38407;La Sure en Chartreuse;Grenoble;45.346776612, 5.66684141
38410;Saint-Lattier;Saint-Lattier;45.093721392, 5.185258627
38522;Valjouffrey;Valjouffrey;44.881488699, 6.079041081
38072;Chanas;Chanas;45.317366224, 4.831077815
38175;Froges;Grenoble;45.265407512, 5.925943774
38447;Saint-priest;SO;nan
38544;Vienne;Vienne;45.520834255, 4.880708304
38027;Barraux;Grenoble;45.435659403, 5.980589906
38056;Bressieux;Bressieux;45.322048747, 5.277706953
38075;Chapareillan;Chapareillan;45.461504673, 5.958384979
38098;Chélieu;Lyon;45.507972967, 5.480378624
38165;Fitilieu;SO;45.552365188, 5.56533462
38169;Fontaine;Grenoble;45.192972497, 5.677452483
38210;Leyrieu;Lyon;45.756398073, 5.255464966
38365;Saint-Baudille-de-la-Tour;Lyon;45.787083166, 5.337023874
38135;Courtenay;Lyon;45.736520091, 5.392180513
38139;Creys-Mépieu;Lyon;45.744399671, 5.465109531
38200;Jarrie;Grenoble;45.110551879, 5.7471277
38213;Longechenal;Grenoble;45.423098598, 5.360290019
38262;Morêtel-de-Mailles;SO;45.368548459, 6.008952387
38263;Morette;Grenoble;45.285250614, 5.451011756
38314;Pontcharra;Pontcharra;45.419902033, 6.020934886
38329;Quet-en-Beaumont;Quet-en-Beaumont;44.837536303, 5.878992148
38508;Torchefelon;Lyon;45.518593714, 5.403085184
38412;Saint-Laurent-du-Pont;Grenoble;45.380043804, 5.735102943
38418;Sainte-Marie-du-Mont;Grenoble;45.406365971, 5.930030992
38425;Saint-Maurice-l'Exil;Vienne;45.392194214, 4.777308038
38458;Saint-Sorlin-de-Morestel;Lyon;45.633055037, 5.472802302
38486;Seyssins;Grenoble;45.155000194, 5.675022011
38497;Sousville;Sousville;44.91124694, 5.80662944
38022;Les Avenières Veyrins-Thuellin;Lyon;45.642834707, 5.568854919
38212;Livet-et-Gavet;Grenoble;45.0905136, 5.918783882
38280;Notre-Dame-de-Vaulx;Grenoble;44.99143624, 5.741321896
38370;Saint-Bonnet-de-Chavagne;Saint-Bonnet-de-Chavagne;45.121304498, 5.227471001
38386;Saint-Geoire-en-Valdaine;Grenoble;45.460607703, 5.6356385
38510;Toussieu;SO;nan
38545;Vif;Grenoble;45.042995035, 5.67405929
38071;Champ-sur-Drac;Grenoble;45.068922163, 5.727206614
38332;Renage;Grenoble;45.331317866, 5.493142486
38355;Saint-Andéol;Grenoble;44.94985925, 5.517135503
38472;Sarcenas;Grenoble;45.285064585, 5.760202971
38021;Autrans;SO;45.196264204, 5.558535222
38023;Avignonet;Grenoble;44.956717306, 5.673849559
38104;Chimilin;Chimilin;45.573389451, 5.59018369
38123;Corbas;SO;nan
38136;Crachier;Lyon;45.546405401, 5.219880163
38149;Domarin;Lyon;45.581433728, 5.245396488
38151;Échirolles;Grenoble;45.147063791, 5.715460973
38174;La Frette;Grenoble;45.387460479, 5.36294255
38180;Gillonnay;Gillonnay;45.385734182, 5.297224051
38209;Lentiol;Lentiol;45.29663296, 5.104369535
38238;Moidieu-Détourbe;Lyon;45.512069293, 5.022142282
38269;La Mure;La Mure;44.9091277, 5.787832273
38275;Serre-Nerpol;Serre-Nerpol;45.257087181, 5.371696543
38308;Plan;Grenoble;45.316638303, 5.391990263
38393;Saint-Hilaire-de-la-Côte;Grenoble;45.389809475, 5.329433504
38442;Saint-Pierre-de-Chartreuse;Grenoble;45.331444023, 5.797898704
38024;Badinières;SO;nan
38035;Beauvoir-de-Marc;Lyon;45.519983092, 5.080114147
38037;Bellegarde-Poussieu;Bellegarde-Poussieu;45.378021274, 4.951025923
38046;Bizonnes;Grenoble;45.44694868, 5.378859204
38053;Bourgoin-Jallieu;Lyon;45.602703383, 5.273772841
38067;Chamagnieu;Lyon;45.687933018, 5.166676121
38102;Chèzeneuve;Lyon;45.56099561, 5.21701547
38108;Choranche;Choranche;45.071079048, 5.39275869
38189;Heyrieux;Lyon;45.628002223, 5.059230163
38204;Lalley;Lalley;44.746508009, 5.684264038
38216;Malleval-en-Vercors;Grenoble;45.15322303, 5.444420292
38223;Maubec;Lyon;45.566103015, 5.258646044
38296;Le Passage;Lyon;45.525474071, 5.514552447
38019;Auberives-sur-Varèze;Vienne;45.426880025, 4.819033132
38020;Auris;Auris;45.05217089, 6.08362311
38062;La Buissière;Grenoble;45.409215501, 5.986120228
38077;La Chapelle-de-Surieu;Vienne;45.394085076, 4.916148263
38080;Charancieu;Charancieu;45.520641833, 5.579390516
38144;Diémoz;Lyon;45.587965763, 5.089047178
38146;Dizimieu;Lyon;45.713258767, 5.28667439
38168;La Folatière;SO;nan
38178;Genas;SO;nan
38195;Izeron;Saint-Marcellin;45.142490996, 5.394005664
38221;Marnans;Marnans;45.289805961, 5.248583921
38232;Meyssiez;Lyon;45.462462315, 5.061948939
38448;Saint-Prim;Vienne;45.445410488, 4.801307512
38455;Saint-Savin;Lyon;45.625489162, 5.321293019
38487;Seyssuel;Vienne;45.559873043, 4.843431467
38526;Vatilieu;Grenoble;45.260866496, 5.41164283
38557;Villette-d'Anthon;Lyon;45.784453637, 5.107563282
38094;Châtonnay;Lyon;45.477030132, 5.22226663
38124;Corbelin;Lyon;45.60249503, 5.552791253
38145;Dionay;SO;45.20381888, 5.207331095
38182;Le Grand-Lemps;Grenoble;45.394715332, 5.41914858
38312;Pommiers-la-Placette;SO;45.319999888, 5.678506427
38336;Reventin-Vaugris;Vienne;45.479382369, 4.844068105
38352;Saint-Alban-de-Roche;Lyon;45.587498168, 5.225312152
38392;Saint-Hilaire-de-Brens;Lyon;45.67563547, 5.291586007
38423;Saint-Martin-le-Vinoux;Grenoble;45.219874186, 5.715972501
38426;Saint-Maximin;Saint-Maximin;45.426434946, 6.049899505
38473;Sardieu;Sardieu;45.360781112, 5.221318736
38482;Sérézin-du-Rhône;SO;nan
38039;Bernin;Grenoble;45.265019906, 5.863719582
38085;Charvieu-Chavagneux;Lyon;45.739828331, 5.151254674
38197;Janneyrias;Lyon;45.750870877, 5.114528505
38368;Saint-Blaise-du-Buis;Grenoble;45.380539614, 5.512039744
38008;Ambel;Ambel;44.799799451, 5.933405735
38153;Engins;Grenoble;45.192958749, 5.609326302
